season,team_id,team_name,matches_played,team-average-raid-points_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-successful-tackle-percent_rank,team-super-raid_rank,team-raid_rank,team-successful-raid-percent_rank,team-dod-raid-points_rank,team-super-tackles_rank,team-raid-points_rank,team-successful-raids_rank,team-total-points-conceded_rank,team-tackle-points_rank,team-total-points_rank,team-successful-tackles-per-match_rank,team-all-outs-inflicted_rank,team-average-tackle-points_rank,team-successful-tackles_rank,team-average-raid-points_value,team-avg-points-scored_value,team-all-outs-conceded_value,team-successful-tackle-percent_value,team-super-raid_value,team-raid_value,team-successful-raid-percent_value,team-dod-raid-points_value,team-super-tackles_value,Total touch points,Total bonus points,team-raid-points_value,team-successful-raids_value,team-total-points-conceded_value,team-tackle-points_value,team-total-points_value,team-successful-tackles-per-match_value,team-all-outs-inflicted_value,team-average-tackle-points_value,team-successful-tackles_value,team-average-raid-points_points_per_match,team-avg-points-scored_points_per_match,team-all-outs-conceded_points_per_match,team-successful-tackle-percent_points_per_match,team-super-raid_points_per_match,team-raid_points_per_match,team-successful-raid-percent_points_per_match,team-dod-raid-points_points_per_match,team-super-tackles_points_per_match,team-raid-points_points_per_match,team-successful-raids_points_per_match,team-total-points-conceded_points_per_match,team-tackle-points_points_per_match,team-total-points_points_per_match,team-successful-tackles-per-match_points_per_match,team-all-outs-inflicted_points_per_match,team-average-tackle-points_points_per_match,team-successful-tackles_points_per_match
5,1,Bengaluru Bulls,22,7,8,9,3,11,12,3,6,7,9,6,11,7,9,6,4,7,6,17.86,31.32,25,38.54,5,943,34.99,93,16,294,99,393,330,679,202,689,8.41,28,9.18,185,0.8118181818181818,1.4236363636363636,1.1363636363636365,1.7518181818181815,0.2272727272727272,42.86363636363637,1.5904545454545456,4.227272727272728,0.7272727272727273,17.863636363636363,15,30.863636363636363,9.181818181818182,31.318181818181817,0.3822727272727272,1.2727272727272727,0.4172727272727272,8.409090909090908
5,2,Dabang Delhi K.C.,22,12,12,2,12,10,8,11,5,11,12,11,6,12,12,12,12,12,12,15.64,27.14,35,32.06,6,973,28.57,94,10,260,84,344,278,731,171,597,7.23,18,7.77,159,0.7109090909090909,1.2336363636363636,1.5909090909090908,1.4572727272727273,0.2727272727272727,44.22727272727273,1.2986363636363636,4.2727272727272725,0.4545454545454545,15.636363636363637,12.636363636363637,33.22727272727273,7.772727272727272,27.13636363636364,0.3286363636363636,0.8181818181818182,0.3531818181818181,7.227272727272728
5,3,Jaipur Pink Panthers,22,10,11,7,8,3,11,10,11,12,11,12,8,11,11,11,9,11,11,16.05,28.68,27,35.29,13,962,28.9,83,9,297,56,353,278,722,172,631,7.36,22,7.82,162,0.7295454545454546,1.3036363636363637,1.2272727272727273,1.604090909090909,0.5909090909090909,43.72727272727273,1.3136363636363635,3.772727272727273,0.4090909090909091,16.045454545454547,12.636363636363637,32.81818181818182,7.818181818181818,28.681818181818183,0.3345454545454545,1,0.3554545454545454,7.363636363636363
5,4,Bengal Warriors,24,4,9,5,9,6,2,4,9,9,3,2,3,10,5,10,5,10,9,18.96,31.17,29,34.81,11,1079,34.29,87,12,333,122,455,370,757,193,748,7.54,27,8.04,181,0.79,1.29875,1.2083333333333333,1.450416666666667,0.4583333333333333,44.958333333333336,1.42875,3.625,0.5,18.95833333333333,15.416666666666666,31.541666666666668,8.041666666666666,31.166666666666668,0.3141666666666666,1.125,0.3349999999999999,7.541666666666667
5,5,U Mumba,22,3,4,1,11,8,10,7,12,2,4,9,4,6,7,8,10,6,10,19.05,32.14,36,32.65,10,963,32.71,78,26,298,121,419,315,757,202,707,8,21,9.18,176,0.865909091,1.460909090909091,1.6363636363636365,1.4840909090909091,0.4545454545454545,43.77272727272727,1.4868181818181818,3.5454545454545454,1.181818181818182,19.045454545454547,14.318181818181818,34.40909090909091,9.181818181818182,32.13636363636363,0.3636363636363636,0.9545454545454546,0.4172727272727272,8
5,6,Patna Pirates,26,1,1,6,6,1,1,1,4,1,1,1,1,3,1,4,1,4,3,24.5,40.38,29,36.16,26,1173,41.09,95,26,508,129,637,482,921,253,1050,8.69,55,9.73,226,0.9423076923076924,1.5530769230769232,1.1153846153846154,1.3907692307692303,1,45.11538461538461,1.5803846153846155,3.6538461538461537,1,24.5,18.53846153846154,35.42307692307692,9.730769231,40.38461538461539,0.3342307692307692,2.1153846153846154,0.3742307692307692,8.692307692307692
5,7,Puneri Paltan,24,11,5,11,2,4,4,12,1,4,10,10,10,1,3,1,3,1,1,15.79,31.92,23,46.07,12,1042,28.21,119,19,321,58,379,294,683,273,766,10.5,32,11.38,252,0.6579166666666666,1.33,0.9583333333333334,1.9195833333333336,0.5,43.41666666666666,1.1754166666666668,4.958333333333333,0.7916666666666666,15.791666666666666,12.25,28.45833333333333,11.375,31.916666666666668,0.4375,1.3333333333333333,0.4741666666666667,10.5
5,8,Telugu Titans,22,6,6,8,5,9,9,6,8,8,8,7,9,5,8,5,7,5,5,18.18,31.64,26,37.6,10,971,33.88,89,16,301,99,400,329,698,208,696,8.68,25,9.45,191,0.8263636363636363,1.4381818181818182,1.181818181818182,1.7090909090909092,0.4545454545454545,44.13636363636363,1.54,4.045454545454546,0.7272727272727273,18.181818181818183,14.954545454545457,31.727272727272727,9.454545454545457,31.63636363636364,0.3945454545454545,1.1363636363636365,0.4295454545454545,8.681818181818182
5,28,Haryana Steelers,23,8,7,10,4,5,5,9,2,3,7,8,7,4,6,3,6,3,4,17.57,31.61,23,37.87,12,1030,31.17,105,21,324,80,404,321,726,227,727,8.96,27,9.87,206,0.7639130434782608,1.3743478260869566,1,1.6465217391304348,0.5217391304347826,44.78260869565217,1.355217391304348,4.565217391304348,0.9130434782608696,17.565217391304348,13.956521739130435,31.565217391304348,9.869565217391305,31.60869565217391,0.3895652173913044,1.173913043478261,0.4291304347826086,8.956521739130435
5,29,Tamil Thalaivas,22,5,10,4,7,12,6,5,7,6,5,4,5,9,10,7,11,8,7,18.59,30.95,31,35.59,5,1015,34.09,91,17,309,101,409,346,752,201,681,8.36,19,9.14,184,0.845,1.4068181818181815,1.4090909090909092,1.617727272727273,0.2272727272727272,46.13636363636363,1.5495454545454548,4.136363636363637,0.7727272727272727,18.59090909090909,15.727272727272728,34.18181818181818,9.136363636363637,30.954545454545453,0.3799999999999999,0.8636363636363636,0.4154545454545454,8.363636363636363
